condition_id,scene_id,inflation_mm,c_curobo_m,c_physx_m,trajectory_length_rad,minimum_refined_physx_tolerance_lower_mm,minimum_refined_physx_tolerance_upper_mm,minimum_refined_physx_tolerance_midpoint_estimate_mm,right_censored_direction_count,right_censored_fraction,planning_success_rate,planner_median_s,planner_iqr_s,wall_time_median_s,wall_time_iqr_s,bottleneck_link,bottleneck_index,bottleneck_switch,physx_collision_rate_at_10mm,physx_collision_rate_at_20mm,physx_collision_rate_at_30mm,physx_collision_rate_at_40mm,physx_collision_rate_at_50mm,physx_collision_rate_at_60mm
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,0.013645913451910019,0.013991013169288635,0.9438674449920654,14.0,14.5,14.25,81,0.6328125,1.0,0.025900415897369387,0.0013688158988952592,0.03549989550447208,0.0013427465019049123,panda_link6,19,False,0.0,0.1484375,0.265625,0.3125,0.3515625,0.3671875
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,0.015901412814855576,0.016072668135166168,0.9439100027084351,16.0,16.5,16.25,83,0.6484375,1.0,0.02608518362045288,0.0009330720901489301,0.03540030749718426,0.001339732752967393,panda_link6,19,False,0.0,0.1015625,0.2265625,0.28125,0.3359375,0.3515625
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,0.021645396947860718,0.02139393985271454,0.9444064497947693,21.5,22.0,21.75,89,0.6953125,1.0,0.026519376277923584,0.0014439840316772465,0.03590843450365355,0.0015438442478625802,panda_link6,19,False,0.0,0.0,0.140625,0.21875,0.2734375,0.3046875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,0.027148455381393433,0.026523124426603317,0.9454147815704346,26.5,27.0,26.75,93,0.7265625,1.0,0.03498238372802734,0.002016695976257324,0.047662415498052724,0.0018760089969873661,panda_link6,19,False,0.0,0.0,0.0625,0.1640625,0.21875,0.2734375
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,0.03272680938243866,0.03169293329119682,0.9469339847564697,31.5,32.0,31.75,99,0.7734375,1.0,0.02624681615829468,0.0014471442699432353,0.03563115200086031,0.001260009494217229,panda_link6,19,False,0.0,0.0,0.0,0.1015625,0.171875,0.2265625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,0.010950425639748573,0.010678771883249283,0.9438675045967102,10.5,11.0,10.75,78,0.609375,1.0,0.025856831073760987,0.0013768560886383042,0.035315810495376354,0.0012799822561646579,panda_rightfinger,20,False,0.0,0.21875,0.3125,0.34375,0.3671875,0.390625
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,0.015557520091533661,0.015264790505170822,0.9440393447875977,15.0,15.5,15.25,84,0.65625,1.0,0.026224592208862304,0.001317064046859738,0.03579761449873331,0.0013353989997995086,panda_rightfinger,20,False,0.0,0.1015625,0.234375,0.2890625,0.3203125,0.34375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,0.021505262702703476,0.021194081753492355,0.9447669386863708,21.0,21.5,21.25,88,0.6875,1.0,0.026307807445526125,0.0011601202487945585,0.03612470750158536,0.0014830457512289286,panda_rightfinger,20,False,0.0,0.0,0.1484375,0.21875,0.265625,0.3125
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,0.027302131056785583,0.02700779214501381,0.9460299015045166,27.0,27.5,27.25,94,0.734375,1.0,0.026222767829895022,0.000592159509658817,0.03572970800087205,0.0009411107457708567,panda_rightfinger,20,False,0.0,0.0,0.046875,0.15625,0.2265625,0.265625
multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,0.0330340676009655,0.0327756367623806,0.947810709476471,33.0,33.5,33.25,97,0.7578125,1.0,0.026375104427337644,0.0011774570941925043,0.03595787349695456,0.0010765992465167074,panda_rightfinger,20,False,0.0,0.0,0.0,0.09375,0.171875,0.2421875
multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,0.009976143017411232,0.009165994822978973,0.9438865780830383,9.0,9.5,9.25,77,0.6015625,1.0,0.026301343917846682,0.001161239624023435,0.03590013950088178,0.0013269097435113508,panda_rightfinger,30,False,0.03125,0.25,0.3359375,0.375,0.3828125,0.3984375
multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,0.0161612369120121,0.015736129134893417,0.9450989365577698,15.0,15.5,15.25,82,0.640625,1.0,0.035078511238098145,0.0012868320941925096,0.0475349480038858,0.0012807450038962997,panda_rightfinger,30,False,0.0,0.1171875,0.25,0.2890625,0.3359375,0.3515625
multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,0.022899232804775238,0.022179018706083298,0.9485982656478882,21.5,22.0,21.75,87,0.6796875,1.0,0.026284815311431887,0.0010870404243469266,0.03581677049805876,0.0016202559945668327,panda_rightfinger,31,False,0.0,0.0,0.1484375,0.234375,0.2734375,0.3203125
multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,0.029797252267599106,0.028019120916724205,0.9550252556800842,28.5,29.0,28.75,89,0.6953125,1.0,0.026347071170806882,0.0010012001991271946,0.035651702502946137,0.0012918575030198554,panda_rightfinger,31,False,0.0,0.0,0.03125,0.1953125,0.2578125,0.296875
multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,0.03561883047223091,0.03275231644511223,0.9647320508956909,33.0,33.5,33.25,90,0.703125,1.0,0.026294992446899416,0.0008250961303710933,0.035855930495017674,0.0010898042528424412,panda_leftfinger,38,True,0.0,0.0,0.0,0.1640625,0.2421875,0.2890625
multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,0.010480690747499466,0.007789723575115204,0.9438737630844116,7.5,8.0,7.75,78,0.609375,1.0,0.026078815937042237,0.0006381833553314245,0.035212988001148915,0.0009726755015435629,panda_link6,24,False,0.1171875,0.28125,0.3515625,0.375,0.3828125,0.390625
multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,0.015894372016191483,0.012463882565498352,0.9442387819290161,12.5,13.0,12.75,80,0.625,1.0,0.02680950403213501,0.0013687360286712656,0.03597260350215947,0.0013893815066694515,panda_link6,25,False,0.0,0.171875,0.2734375,0.3125,0.359375,0.375
multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,0.02102765440940857,0.017423752695322037,0.9451422691345215,17.5,18.0,17.75,86,0.671875,1.0,0.026204928398132328,0.0009992637634277345,0.035582686996349366,0.0013481002551998245,panda_link6,25,False,0.0,0.046875,0.1875,0.2578125,0.296875,0.328125
