scene_id,inflation_mm,c_curobo_m,c_physx_m,minimum_tolerance_midpoint_estimate_mm,right_censored_fraction,collision_rate_at_10mm,collision_rate_at_20mm,collision_rate_at_30mm,collision_rate_at_40mm,collision_rate_at_50mm,collision_rate_at_60mm,c_curobo_monotonic_nondecreasing,c_physx_monotonic_nondecreasing,minimum_tolerance_midpoint_monotonic_nondecreasing,right_censored_fraction_monotonic_nondecreasing,all_fixed_budget_collision_rates_monotonic_nonincreasing
formal_baseline_v1,0,0.013645913451910019,0.013991013169288635,14.25,0.6328125,0.0,0.1484375,0.265625,0.3125,0.3515625,0.3671875,True,True,True,True,True
formal_baseline_v1,5,0.015901412814855576,0.016072668135166168,16.25,0.6484375,0.0,0.1015625,0.2265625,0.28125,0.3359375,0.3515625,True,True,True,True,True
formal_baseline_v1,10,0.021645396947860718,0.02139393985271454,21.75,0.6953125,0.0,0.0,0.140625,0.21875,0.2734375,0.3046875,True,True,True,True,True
formal_baseline_v1,15,0.027148455381393433,0.026523124426603317,26.75,0.7265625,0.0,0.0,0.0625,0.1640625,0.21875,0.2734375,True,True,True,True,True
formal_baseline_v1,20,0.03272680938243866,0.03169293329119682,31.75,0.7734375,0.0,0.0,0.0,0.1015625,0.171875,0.2265625,True,True,True,True,True
multiscene_candidate_001,0,0.010950425639748573,0.010678771883249283,10.75,0.609375,0.0,0.21875,0.3125,0.34375,0.3671875,0.390625,True,True,True,True,True
multiscene_candidate_001,5,0.015557520091533661,0.015264790505170822,15.25,0.65625,0.0,0.1015625,0.234375,0.2890625,0.3203125,0.34375,True,True,True,True,True
multiscene_candidate_001,10,0.021505262702703476,0.021194081753492355,21.25,0.6875,0.0,0.0,0.1484375,0.21875,0.265625,0.3125,True,True,True,True,True
multiscene_candidate_001,15,0.027302131056785583,0.02700779214501381,27.25,0.734375,0.0,0.0,0.046875,0.15625,0.2265625,0.265625,True,True,True,True,True
multiscene_candidate_001,20,0.0330340676009655,0.0327756367623806,33.25,0.7578125,0.0,0.0,0.0,0.09375,0.171875,0.2421875,True,True,True,True,True
multiscene_candidate_005,0,0.009976143017411232,0.009165994822978973,9.25,0.6015625,0.03125,0.25,0.3359375,0.375,0.3828125,0.3984375,True,True,True,True,True
multiscene_candidate_005,5,0.0161612369120121,0.015736129134893417,15.25,0.640625,0.0,0.1171875,0.25,0.2890625,0.3359375,0.3515625,True,True,True,True,True
multiscene_candidate_005,10,0.022899232804775238,0.022179018706083298,21.75,0.6796875,0.0,0.0,0.1484375,0.234375,0.2734375,0.3203125,True,True,True,True,True
multiscene_candidate_005,15,0.029797252267599106,0.028019120916724205,28.75,0.6953125,0.0,0.0,0.03125,0.1953125,0.2578125,0.296875,True,True,True,True,True
multiscene_candidate_005,20,0.03561883047223091,0.03275231644511223,33.25,0.703125,0.0,0.0,0.0,0.1640625,0.2421875,0.2890625,True,True,True,True,True
multiscene_candidate_006,0,0.010480690747499466,0.007789723575115204,7.75,0.609375,0.1171875,0.28125,0.3515625,0.375,0.3828125,0.390625,True,True,True,True,True
multiscene_candidate_006,5,0.015894372016191483,0.012463882565498352,12.75,0.625,0.0,0.171875,0.2734375,0.3125,0.359375,0.375,True,True,True,True,True
multiscene_candidate_006,10,0.02102765440940857,0.017423752695322037,17.75,0.671875,0.0,0.046875,0.1875,0.2578125,0.296875,0.328125,True,True,True,True,True
multiscene_candidate_006,15,0.026262298226356506,0.022729892283678055,22.75,0.6953125,0.0,0.0,0.109375,0.203125,0.2578125,0.3046875,True,True,True,True,True
multiscene_candidate_006,20,0.031495556235313416,0.027728375047445297,27.75,0.734375,0.0,0.0,0.0390625,0.15625,0.21875,0.265625,True,True,True,True,True
