condition_id,scene_id,inflation_mm,c_curobo_m,c_physx_m,minimum_tolerance_midpoint_estimate_mm,right_censored_fraction,trajectory_length_rad,planning_success_rate,planner_median_s,planner_iqr_s,wall_time_median_s,wall_time_iqr_s,condition_specific_timing_increase,planner_median_relative_to_nonspike_median,timing_variation_interpretation,bottleneck_switch
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,0.013645913451910019,0.013991013169288635,14.25,0.6328125,0.9438674449920654,1.0,0.025900415897369387,0.0013688158988952592,0.03549989550447208,0.0013427465019049123,False,0.9864924971590746,typical observed timing range,False
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,0.015901412814855576,0.016072668135166168,16.25,0.6484375,0.9439100027084351,1.0,0.02608518362045288,0.0009330720901489301,0.03540030749718426,0.001339732752967393,False,0.9935299120508387,typical observed timing range,False
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,0.021645396947860718,0.02139393985271454,21.75,0.6953125,0.9444064497947693,1.0,0.026519376277923584,0.0014439840316772465,0.03590843450365355,0.0015438442478625802,False,1.0100673993488676,typical observed timing range,False
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,0.027148455381393433,0.026523124426603317,26.75,0.7265625,0.9454147815704346,1.0,0.03498238372802734,0.002016695976257324,0.047662415498052724,0.0018760089969873661,True,1.332405596002175,unexplained condition-specific timing variation,False
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,0.03272680938243866,0.03169293329119682,31.75,0.7734375,0.9469339847564697,1.0,0.02624681615829468,0.0014471442699432353,0.03563115200086031,0.001260009494217229,False,0.9996861562790987,typical observed timing range,False
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,0.010950425639748573,0.010678771883249283,10.75,0.609375,0.9438675045967102,1.0,0.025856831073760987,0.0013768560886383042,0.035315810495376354,0.0012799822561646579,False,0.984832442677708,typical observed timing range,False
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,0.015557520091533661,0.015264790505170822,15.25,0.65625,0.9440393447875977,1.0,0.026224592208862304,0.001317064046859738,0.03579761449873331,0.0013353989997995086,False,0.9988396926756125,typical observed timing range,False
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,0.021505262702703476,0.021194081753492355,21.25,0.6875,0.9447669386863708,1.0,0.026307807445526125,0.0011601202487945585,0.03612470750158536,0.0014830457512289286,False,1.0020091864375453,typical observed timing range,False
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,0.027302131056785583,0.02700779214501381,27.25,0.734375,0.9460299015045166,1.0,0.026222767829895022,0.000592159509658817,0.03572970800087205,0.0009411107457708567,False,0.998770205908669,typical observed timing range,False
multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,0.0330340676009655,0.0327756367623806,33.25,0.7578125,0.947810709476471,1.0,0.026375104427337644,0.0011774570941925043,0.03595787349695456,0.0010765992465167074,False,1.0045723872719095,typical observed timing range,False
multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,0.009976143017411232,0.009165994822978973,9.25,0.6015625,0.9438865780830383,1.0,0.026301343917846682,0.001161239624023435,0.03590013950088178,0.0013269097435113508,False,1.0017630042300387,typical observed timing range,False
multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,0.0161612369120121,0.015736129134893417,15.25,0.640625,0.9450989365577698,1.0,0.035078511238098145,0.0012868320941925096,0.0475349480038858,0.0012807450038962997,True,1.3360668911655884,unexplained condition-specific timing variation,False
multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,0.022899232804775238,0.022179018706083298,21.75,0.6796875,0.9485982656478882,1.0,0.026284815311431887,0.0010870404243469266,0.03581677049805876,0.0016202559945668327,False,1.0011334642920973,typical observed timing range,False
multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,0.029797252267599106,0.028019120916724205,28.75,0.6953125,0.9550252556800842,1.0,0.026347071170806882,0.0010012001991271946,0.035651702502946137,0.0012918575030198554,False,1.0035046593501604,typical observed timing range,False
multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,0.03561883047223091,0.03275231644511223,33.25,0.703125,0.9647320508956909,1.0,0.026294992446899416,0.0008250961303710933,0.035855930495017674,0.0010898042528424412,False,1.0015210900283429,typical observed timing range,True
multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,0.010480690747499466,0.007789723575115204,7.75,0.609375,0.9438737630844116,1.0,0.026078815937042237,0.0006381833553314245,0.035212988001148915,0.0009726755015435629,False,0.99328738035043,typical observed timing range,False
multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,0.015894372016191483,0.012463882565498352,12.75,0.625,0.9442387819290161,1.0,0.02680950403213501,0.0013687360286712656,0.03597260350215947,0.0013893815066694515,False,1.021117756759393,typical observed timing range,False
multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,0.02102765440940857,0.017423752695322037,17.75,0.671875,0.9451422691345215,1.0,0.026204928398132328,0.0009992637634277345,0.035582686996349366,0.0013481002551998245,False,0.9980907393836058,typical observed timing range,False
multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,0.026262298226356506,0.022729892283678055,22.75,0.6953125,0.9466080665588379,1.0,0.026263296127319334,0.0007718639373779299,0.035766184500971576,0.0013660124914167682,False,1.0003138437209012,typical observed timing range,False
multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,0.031495556235313416,0.027728375047445297,27.75,0.734375,0.9485822916030884,1.0,0.02602992057800293,0.001326904296875004,0.03520969150122255,0.001388721504554269,False,0.9914250587170899,typical observed timing range,False
