summary_type,scope,trial_count,agreements,disagreements,agreement_rate,curobo_safe_physx_collision,curobo_collision_physx_safe,absolute_curobo_clearance_median_mm,absolute_physx_separation_median_mm
agreement,overall,76800,75722,1078,0.9859635416666667,,,,
agreement,scene:formal_baseline_v1,19200,18997,203,0.9894270833333333,,,,
agreement,scene:multiscene_candidate_001,19200,19098,102,0.9946875,,,,
agreement,scene:multiscene_candidate_005,19200,18934,266,0.9861458333333334,,,,
agreement,scene:multiscene_candidate_006,19200,18693,507,0.97359375,,,,
agreement,inflation:0mm,15360,15104,256,0.9833333333333333,,,,
agreement,inflation:5mm,15360,15134,226,0.9852864583333333,,,,
agreement,inflation:10mm,15360,15172,188,0.9877604166666667,,,,
agreement,inflation:15mm,15360,15156,204,0.98671875,,,,
agreement,inflation:20mm,15360,15156,204,0.98671875,,,,
agreement,magnitude:2mm,2560,2560,0,1.0,,,,
agreement,magnitude:4mm,2560,2560,0,1.0,,,,
agreement,magnitude:6mm,2560,2560,0,1.0,,,,
agreement,magnitude:8mm,2560,2558,2,0.99921875,,,,
agreement,magnitude:10mm,2560,2541,19,0.992578125,,,,
agreement,magnitude:12mm,2560,2542,18,0.99296875,,,,
agreement,magnitude:14mm,2560,2538,22,0.99140625,,,,
agreement,magnitude:16mm,2560,2528,32,0.9875,,,,
agreement,magnitude:18mm,2560,2533,27,0.989453125,,,,
agreement,magnitude:20mm,2560,2529,31,0.987890625,,,,
agreement,magnitude:22mm,2560,2516,44,0.9828125,,,,
agreement,magnitude:24mm,2560,2525,35,0.986328125,,,,
agreement,magnitude:26mm,2560,2516,44,0.9828125,,,,
agreement,magnitude:28mm,2560,2514,46,0.98203125,,,,
agreement,magnitude:30mm,2560,2503,57,0.977734375,,,,
agreement,magnitude:32mm,2560,2507,53,0.979296875,,,,
agreement,magnitude:34mm,2560,2499,61,0.976171875,,,,
agreement,magnitude:36mm,2560,2500,60,0.9765625,,,,
agreement,magnitude:38mm,2560,2502,58,0.97734375,,,,
agreement,magnitude:40mm,2560,2507,53,0.979296875,,,,
agreement,magnitude:42mm,2560,2502,58,0.97734375,,,,
agreement,magnitude:44mm,2560,2519,41,0.983984375,,,,
agreement,magnitude:46mm,2560,2523,37,0.985546875,,,,
agreement,magnitude:48mm,2560,2522,38,0.98515625,,,,
agreement,magnitude:50mm,2560,2520,40,0.984375,,,,
agreement,magnitude:52mm,2560,2517,43,0.983203125,,,,
agreement,magnitude:54mm,2560,2515,45,0.982421875,,,,
agreement,magnitude:56mm,2560,2522,38,0.98515625,,,,
agreement,magnitude:58mm,2560,2522,38,0.98515625,,,,
agreement,magnitude:60mm,2560,2522,38,0.98515625,,,,
disagreement_distribution,overall,76800,75722,1078,0.9859635416666667,1009,69,0.9996332228183746,0.8916761726140976
