condition_id,corridor_width_mm,inflation_mm,effective_planning_gap_mm,route_category,passage_count,upper_bypass_count,route_consistency_rate,trajectory_length_rad,trajectory_length_change_rad,trajectory_length_change_percent,planner_time_median_ms,planner_time_iqr_ms,wall_time_median_ms,wall_time_iqr_ms,planning_successes,planning_failures,gate_local_curobo_clearance_mm,global_curobo_clearance_mm
formal_stress__corridor_120mm__inflation_000mm,120,0,120,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.217456817626953,1.1366312503814646,36.98326350058778,1.8285807491338346,30,0,14.381632208824158,14.381632208824158
formal_stress__corridor_120mm__inflation_005mm,120,5,110,upper_bypass,0,30,1.0,0.9444226026535034,0.0005551576614379883,0.058817333343097467,27.824047565460205,1.3719127178192168,37.79144250074751,1.4603997442463879,30,0,18.561795353889465,18.561795353889465
formal_stress__corridor_120mm__inflation_010mm,120,10,100,upper_bypass,0,30,1.0,0.9491081237792969,0.005240678787231445,0.5552346163687716,28.075327873229977,1.6134965419769276,37.770062997878995,1.763901002050261,30,0,26.26090683043003,20.68893611431122
formal_stress__corridor_120mm__inflation_015mm,120,15,90,upper_bypass,0,30,1.0,0.9929443001747131,0.049076855182647705,5.199549517576618,28.21145629882813,1.4730637073516843,38.39544799848227,1.8754757493297802,30,0,31.920701265335083,20.68893611431122
formal_stress__corridor_120mm__inflation_020mm,120,20,80,upper_bypass,0,30,1.0,1.0509593486785889,0.10709190368652344,11.346074520816174,28.07982349395752,1.2327122688293481,38.05556099905516,1.8086362470057793,30,0,40.62262177467346,20.68893611431122
formal_stress__corridor_140mm__inflation_000mm,140,0,140,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.938352108001713,1.9375674724578864,37.55736100356444,1.841939500081935,30,0,21.480485796928406,20.68893611431122
formal_stress__corridor_140mm__inflation_005mm,140,5,130,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.68843173980713,1.4903924465179477,37.85117150255246,1.6358002485503675,30,0,21.480537950992584,20.68893611431122
formal_stress__corridor_140mm__inflation_010mm,140,10,120,upper_bypass,0,30,1.0,0.945094108581543,0.001226663589477539,0.1299614258321924,27.998000621795654,1.634279966354374,37.99164749943884,1.5591367500746856,30,0,27.241848409175873,20.68893611431122
formal_stress__corridor_140mm__inflation_015mm,140,15,110,upper_bypass,0,30,1.0,0.9513654708862305,0.007498025894165039,0.794393951602812,28.021407127380375,1.0565199851989768,37.92591399906087,1.743094249832211,30,0,34.90537405014038,20.68893611431122
formal_stress__corridor_140mm__inflation_020mm,140,20,100,upper_bypass,0,30,1.0,0.9912796020507812,0.04741215705871582,5.0231796117424565,28.357760429382324,0.7852246761322034,38.14199400221696,1.5685912476328667,30,0,40.16786813735962,20.68893611431122
formal_stress__corridor_160mm__inflation_000mm,160,0,160,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.5318398475647,1.1179447174072266,37.373118502728175,1.6754702519392595,30,0,29.250450432300568,20.68893611431122
formal_stress__corridor_160mm__inflation_005mm,160,5,150,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.511168479919434,1.045455694198609,37.04795299563557,1.7649624933255836,30,0,29.250413179397583,20.68893611431122
formal_stress__corridor_160mm__inflation_010mm,160,10,140,passage,30,0,1.0,0.9438675045967102,5.960464477539063e-08,6.314938083562538e-06,27.671072959899902,1.3099439144134486,37.370860500232084,1.5434567503689323,30,0,29.25153076648712,20.68893611431122
formal_stress__corridor_160mm__inflation_015mm,160,15,130,upper_bypass,0,30,1.0,0.9465736150741577,0.002706170082092285,0.28671081902977846,28.453087806701664,1.6612231731414802,38.417580999521306,1.4976537477195961,30,0,36.26784682273865,20.68893611431122
formal_stress__corridor_160mm__inflation_020mm,160,20,120,upper_bypass,0,30,1.0,0.9603825211524963,0.016515076160430908,1.7497241003549657,28.454879760742188,1.6310634613037092,38.536330499482574,1.617627749510575,30,0,42.59374737739563,20.68893611431122
formal_stress__corridor_300mm__inflation_000mm,300,0,300,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.893664360046387,1.794775009155272,37.792739505675854,1.8023105003521778,30,0,54.68371883034706,20.68893611431122
formal_stress__corridor_300mm__inflation_005mm,300,5,290,passage,30,0,1.0,0.9438674449920654,0.0,0.0,27.45244836807251,1.7865443229675322,36.85804900305811,2.1202527514105896,30,0,54.68427017331123,20.68893611431122
formal_stress__corridor_300mm__inflation_010mm,300,10,280,passage,30,0,1.0,0.9438675045967102,5.960464477539063e-08,6.314938083562538e-06,27.684207916259766,0.9178965091705336,37.587544498819625,2.1467964979819953,30,0,54.68546226620674,20.68893611431122
formal_stress__corridor_300mm__inflation_015mm,300,15,270,upper_bypass,0,30,1.0,0.9447486400604248,0.000881195068359375,0.09336004467945802,28.219152450561523,1.8746473789215088,37.917446501523955,1.6824157519295113,30,0,58.02243575453758,20.68893611431122
formal_stress__corridor_300mm__inflation_020mm,300,20,260,upper_bypass,0,30,1.0,0.9510113596916199,0.007143914699554443,0.7568769044274504,28.31276798248291,1.5257275104522683,38.08157350067631,1.7163352495117579,30,0,58.29114839434624,20.68893611431122
