condition_id,corridor_width_mm,inflation_mm,route_category,global_curobo_clearance_mm,gate_local_curobo_clearance_mm,trajectory_length_change_percent
formal_stress__corridor_120mm__inflation_000mm,120,0,passage,14.381632208824158,14.381632208824158,0.0
formal_stress__corridor_120mm__inflation_005mm,120,5,upper_bypass,18.561795353889465,18.561795353889465,0.058817333343097467
formal_stress__corridor_120mm__inflation_010mm,120,10,upper_bypass,20.68893611431122,26.26090683043003,0.5552346163687716
formal_stress__corridor_120mm__inflation_015mm,120,15,upper_bypass,20.68893611431122,31.920701265335083,5.199549517576618
formal_stress__corridor_120mm__inflation_020mm,120,20,upper_bypass,20.68893611431122,40.62262177467346,11.346074520816174
formal_stress__corridor_140mm__inflation_000mm,140,0,passage,20.68893611431122,21.480485796928406,0.0
formal_stress__corridor_140mm__inflation_005mm,140,5,passage,20.68893611431122,21.480537950992584,0.0
formal_stress__corridor_140mm__inflation_010mm,140,10,upper_bypass,20.68893611431122,27.241848409175873,0.1299614258321924
formal_stress__corridor_140mm__inflation_015mm,140,15,upper_bypass,20.68893611431122,34.90537405014038,0.794393951602812
formal_stress__corridor_140mm__inflation_020mm,140,20,upper_bypass,20.68893611431122,40.16786813735962,5.0231796117424565
formal_stress__corridor_160mm__inflation_000mm,160,0,passage,20.68893611431122,29.250450432300568,0.0
formal_stress__corridor_160mm__inflation_005mm,160,5,passage,20.68893611431122,29.250413179397583,0.0
formal_stress__corridor_160mm__inflation_010mm,160,10,passage,20.68893611431122,29.25153076648712,6.314938083562538e-06
formal_stress__corridor_160mm__inflation_015mm,160,15,upper_bypass,20.68893611431122,36.26784682273865,0.28671081902977846
formal_stress__corridor_160mm__inflation_020mm,160,20,upper_bypass,20.68893611431122,42.59374737739563,1.7497241003549657
formal_stress__corridor_300mm__inflation_000mm,300,0,passage,20.68893611431122,54.68371883034706,0.0
formal_stress__corridor_300mm__inflation_005mm,300,5,passage,20.68893611431122,54.68427017331123,0.0
formal_stress__corridor_300mm__inflation_010mm,300,10,passage,20.68893611431122,54.68546226620674,6.314938083562538e-06
formal_stress__corridor_300mm__inflation_015mm,300,15,upper_bypass,20.68893611431122,58.02243575453758,0.09336004467945802
formal_stress__corridor_300mm__inflation_020mm,300,20,upper_bypass,20.68893611431122,58.29114839434624,0.7568769044274504
