scene_id,direction_id,joint_index,joint_name,sign,physx_last_safe_deg,physx_first_collision_deg,physx_midpoint_deg,physx_interval_width_deg,physx_right_censored_above_8deg,curobo_last_safe_deg,curobo_first_collision_deg,curobo_midpoint_deg,curobo_interval_width_deg,curobo_right_censored_above_8deg,coarse_physx_collision_to_safe,coarse_curobo_collision_to_safe
formal_baseline_v1,negative_J1,0,panda_joint1,negative,,,,,True,,,,,True,False,False
formal_baseline_v1,negative_J2,1,panda_joint2,negative,3.125,3.1875,3.15625,0.0625,False,2.0,3.0,2.5,1.0,False,False,False
formal_baseline_v1,negative_J3,2,panda_joint3,negative,,,,,True,,,,,True,False,False
formal_baseline_v1,negative_J4,3,panda_joint4,negative,,,,,True,,,,,True,False,False
formal_baseline_v1,negative_J5,4,panda_joint5,negative,,,,,True,,,,,True,False,False
formal_baseline_v1,negative_J6,5,panda_joint6,negative,,,,,True,,,,,True,False,False
formal_baseline_v1,negative_J7,6,panda_joint7,negative,,,,,True,,,,,True,False,False
formal_baseline_v1,positive_J1,0,panda_joint1,positive,,,,,True,,,,,True,False,False
formal_baseline_v1,positive_J2,1,panda_joint2,positive,,,,,True,,,,,True,False,False
formal_baseline_v1,positive_J3,2,panda_joint3,positive,,,,,True,,,,,True,False,False
formal_baseline_v1,positive_J4,3,panda_joint4,positive,1.8125,1.875,1.84375,0.0625,False,1.5,1.75,1.625,0.25,False,False,False
formal_baseline_v1,positive_J5,4,panda_joint5,positive,,,,,True,,,,,True,False,False
formal_baseline_v1,positive_J6,5,panda_joint6,positive,,,,,True,,,,,True,False,False
formal_baseline_v1,positive_J7,6,panda_joint7,positive,,,,,True,,,,,True,False,False
multiscene_candidate_001,negative_J1,0,panda_joint1,negative,,,,,True,,,,,True,False,False
multiscene_candidate_001,negative_J2,1,panda_joint2,negative,,,,,True,,,,,True,False,False
multiscene_candidate_001,negative_J3,2,panda_joint3,negative,,,,,True,,,,,True,False,False
multiscene_candidate_001,negative_J4,3,panda_joint4,negative,1.25,1.3125,1.28125,0.0625,False,1.3125,1.375,1.34375,0.0625,False,False,False
multiscene_candidate_001,negative_J5,4,panda_joint5,negative,,,,,True,,,,,True,False,False
multiscene_candidate_001,negative_J6,5,panda_joint6,negative,,,,,True,,,,,True,False,False
multiscene_candidate_001,negative_J7,6,panda_joint7,negative,,,,,True,,,,,True,False,False
multiscene_candidate_001,positive_J1,0,panda_joint1,positive,,,,,True,,,,,True,False,False
multiscene_candidate_001,positive_J2,1,panda_joint2,positive,2.25,2.3125,2.28125,0.0625,False,2.375,2.5,2.4375,0.125,False,False,False
multiscene_candidate_001,positive_J3,2,panda_joint3,positive,,,,,True,,,,,True,False,False
multiscene_candidate_001,positive_J4,3,panda_joint4,positive,,,,,True,,,,,True,False,False
multiscene_candidate_001,positive_J5,4,panda_joint5,positive,,,,,True,,,,,True,False,False
multiscene_candidate_001,positive_J6,5,panda_joint6,positive,,,,,True,,,,,True,False,False
multiscene_candidate_001,positive_J7,6,panda_joint7,positive,,,,,True,,,,,True,False,False
multiscene_candidate_005,negative_J1,0,panda_joint1,negative,,,,,True,,,,,True,False,False
multiscene_candidate_005,negative_J2,1,panda_joint2,negative,,,,,True,,,,,True,False,False
multiscene_candidate_005,negative_J3,2,panda_joint3,negative,,,,,True,,,,,True,False,False
multiscene_candidate_005,negative_J4,3,panda_joint4,negative,1.125,1.1875,1.15625,0.0625,False,1.25,1.5,1.375,0.25,False,False,False
multiscene_candidate_005,negative_J5,4,panda_joint5,negative,,,,,True,,,,,True,False,False
multiscene_candidate_005,negative_J6,5,panda_joint6,negative,,,,,True,,,,,True,False,False
multiscene_candidate_005,negative_J7,6,panda_joint7,negative,,,,,True,,,,,True,False,False
multiscene_candidate_005,positive_J1,0,panda_joint1,positive,,,,,True,,,,,True,False,False
multiscene_candidate_005,positive_J2,1,panda_joint2,positive,1.875,1.9375,1.90625,0.0625,False,2.0,3.0,2.5,1.0,False,False,False
multiscene_candidate_005,positive_J3,2,panda_joint3,positive,6.6875,6.75,6.71875,0.0625,False,7.0,8.0,7.5,1.0,False,False,False
multiscene_candidate_005,positive_J4,3,panda_joint4,positive,,,,,True,,,,,True,False,False
multiscene_candidate_005,positive_J5,4,panda_joint5,positive,,,,,True,,,,,True,False,False
multiscene_candidate_005,positive_J6,5,panda_joint6,positive,,,,,True,,,,,True,False,False
multiscene_candidate_005,positive_J7,6,panda_joint7,positive,,,,,True,,,,,True,False,False
multiscene_candidate_006,negative_J1,0,panda_joint1,negative,,,,,True,,,,,True,False,False
multiscene_candidate_006,negative_J2,1,panda_joint2,negative,1.8125,1.875,1.84375,0.0625,False,1.75,1.8125,1.78125,0.0625,False,False,False
multiscene_candidate_006,negative_J3,2,panda_joint3,negative,,,,,True,,,,,True,False,False
multiscene_candidate_006,negative_J4,3,panda_joint4,negative,,,,,True,,,,,True,False,False
multiscene_candidate_006,negative_J5,4,panda_joint5,negative,,,,,True,,,,,True,False,False
multiscene_candidate_006,negative_J6,5,panda_joint6,negative,,,,,True,,,,,True,False,False
multiscene_candidate_006,negative_J7,6,panda_joint7,negative,,,,,True,,,,,True,False,False
multiscene_candidate_006,positive_J1,0,panda_joint1,positive,,,,,True,,,,,True,False,False
multiscene_candidate_006,positive_J2,1,panda_joint2,positive,,,,,True,,,,,True,False,False
multiscene_candidate_006,positive_J3,2,panda_joint3,positive,,,,,True,,,,,True,False,False
