trial_id,scene_id,direction_id,joint_index,joint_name,sign,magnitude_deg,magnitude_rad,joint_limit_valid,first_invalid_state_index,physx_collision,physx_min_separation_m,physx_min_separation_state_index,physx_first_collision_state_index,obstacle_unchanged,trajectory_frozen,replanned_after_perturbation,curobo_collision,curobo_min_clearance_m,curobo_min_state_index,curobo_min_sphere_index,engine_agreement
formal_baseline_v1__negative_J2__refine_03.50000deg,formal_baseline_v1,negative_J2,1,panda_joint2,negative,3.5,0.061086523819801536,True,,True,-0.0016114898025989532,20,20,True,True,False,True,-0.0030974410474300385,19,31,True
formal_baseline_v1__negative_J2__refine_03.25000deg,formal_baseline_v1,negative_J2,1,panda_joint2,negative,3.25,0.05672320068981571,True,,True,-0.0004188418388366699,20,20,True,True,False,True,-0.002016853541135788,19,31,True
formal_baseline_v1__negative_J2__refine_03.12500deg,formal_baseline_v1,negative_J2,1,panda_joint2,negative,3.125,0.0545415391248228,True,,False,0.0001766197383403778,20,,True,True,False,True,-0.0014683976769447327,19,31,False
formal_baseline_v1__negative_J2__refine_03.18750deg,formal_baseline_v1,negative_J2,1,panda_joint2,negative,3.1875,0.055632369907319255,True,,True,-0.00012112781405448914,20,20,True,True,False,True,-0.001743357628583908,19,31,True
formal_baseline_v1__positive_J4__refine_01.50000deg,formal_baseline_v1,positive_J4,3,panda_joint4,positive,1.5,0.026179938779914945,True,,False,0.0025666654109954834,19,,True,True,False,False,0.001537170261144638,19,31,True
formal_baseline_v1__positive_J4__refine_01.75000deg,formal_baseline_v1,positive_J4,3,panda_joint4,positive,1.75,0.030543261909900768,True,,False,0.0006628930568695068,19,,True,True,False,True,-0.00047305598855018616,19,31,False
formal_baseline_v1__positive_J4__refine_01.87500deg,formal_baseline_v1,positive_J4,3,panda_joint4,positive,1.875,0.032724923474893676,True,,True,-0.0003063604235649109,19,19,True,True,False,True,-0.0014772750437259674,19,31,True
formal_baseline_v1__positive_J4__refine_01.81250deg,formal_baseline_v1,positive_J4,3,panda_joint4,positive,1.8125,0.031634092692397225,True,,False,0.00017786771059036255,19,,True,True,False,True,-0.0009752847254276276,19,31,False
multiscene_candidate_001__negative_J4__refine_01.50000deg,multiscene_candidate_001,negative_J4,3,panda_joint4,negative,1.5,0.026179938779914945,True,,True,-0.0017513036727905273,20,19,True,True,False,True,-0.001488925889134407,20,59,True
multiscene_candidate_001__negative_J4__refine_01.25000deg,multiscene_candidate_001,negative_J4,3,panda_joint4,negative,1.25,0.02181661564992912,True,,False,0.00028378143906593323,20,,True,True,False,False,0.000545998103916645,20,59,True
multiscene_candidate_001__negative_J4__refine_01.37500deg,multiscene_candidate_001,negative_J4,3,panda_joint4,negative,1.375,0.02399827721492203,True,,True,-0.0007325708866119385,20,20,True,True,False,True,-0.00047515612095594406,20,59,True
multiscene_candidate_001__negative_J4__refine_01.31250deg,multiscene_candidate_001,negative_J4,3,panda_joint4,negative,1.3125,0.022907446432425576,True,,True,-0.00022404640913009644,20,20,True,True,False,False,3.4574419260025024e-05,20,59,False
multiscene_candidate_001__positive_J2__refine_02.50000deg,multiscene_candidate_001,positive_J2,1,panda_joint2,positive,2.5,0.04363323129985824,True,,True,-0.0010939985513687134,20,19,True,True,False,True,-0.0002680830657482147,19,59,True
multiscene_candidate_001__positive_J2__refine_02.25000deg,multiscene_candidate_001,positive_J2,1,panda_joint2,positive,2.25,0.039269908169872414,True,,False,9.64142382144928e-05,20,,True,True,False,False,0.0008024787530303001,20,59,True
