condition_id,scene_id,inflation_mm,c_curobo_m,c_physx_m,trajectory_length_rad,physx_minimum_refined_directional_tolerance_lower_mm,physx_minimum_refined_directional_tolerance_upper_mm,physx_right_censored_count,physx_right_censored_fraction,curobo_minimum_sampled_directional_tolerance_mm,curobo_right_censored_count,bottleneck_switch
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,0.013645913451910019,0.013991013169288635,0.9438674449920654,14.0,14.5,81,0.6328125,14.0,82,False
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,0.015901412814855576,0.016072668135166168,0.9439100027084351,16.0,16.5,83,0.6484375,18.0,83,False
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,0.021645396947860718,0.02139393985271454,0.9444064497947693,21.5,22.0,89,0.6953125,22.0,90,False
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,0.027148455381393433,0.026523124426603317,0.9454147815704346,26.5,27.0,93,0.7265625,28.0,96,False
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,0.03272680938243866,0.03169293329119682,0.9469339847564697,31.5,32.0,99,0.7734375,34.0,101,False
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,0.010950425639748573,0.010678771883249283,0.9438675045967102,10.5,11.0,78,0.609375,12.0,79,False
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,0.015557520091533661,0.015264790505170822,0.9440393447875977,15.0,15.5,84,0.65625,16.0,84,False
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,0.021505262702703476,0.021194081753492355,0.9447669386863708,21.0,21.5,88,0.6875,22.0,88,False
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,0.027302131056785583,0.02700779214501381,0.9460299015045166,27.0,27.5,94,0.734375,28.0,94,False
multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,0.0330340676009655,0.0327756367623806,0.947810709476471,33.0,33.5,97,0.7578125,34.0,99,False
multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,0.009976143017411232,0.009165994822978973,0.9438865780830383,9.0,9.5,77,0.6015625,12.0,79,False
multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,0.0161612369120121,0.015736129134893417,0.9450989365577698,15.0,15.5,82,0.640625,18.0,85,False
multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,0.022899232804775238,0.022179018706083298,0.9485982656478882,21.5,22.0,87,0.6796875,24.0,89,False
multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,0.029797252267599106,0.028019120916724205,0.9550252556800842,28.5,29.0,89,0.6953125,32.0,92,False
multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,0.03561883047223091,0.03275231644511223,0.9647320508956909,33.0,33.5,90,0.703125,36.0,93,True
multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,0.010480690747499466,0.007789723575115204,0.9438737630844116,7.5,8.0,78,0.609375,12.0,77,False
multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,0.015894372016191483,0.012463882565498352,0.9442387819290161,12.5,13.0,80,0.625,18.0,83,False
multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,0.02102765440940857,0.017423752695322037,0.9451422691345215,17.5,18.0,86,0.671875,22.0,88,False
multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,0.026262298226356506,0.022729892283678055,0.9466080665588379,22.5,23.0,89,0.6953125,28.0,93,False
multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,0.031495556235313416,0.027728375047445297,0.9485822916030884,27.5,28.0,94,0.734375,32.0,97,False
