condition_id,scene_id,inflation_mm,direction_id,curobo_first_sampled_collision_mm,physx_first_sampled_collision_mm,delta_physx_minus_curobo_mm,boundary_status
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_000,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_001,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_002,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_003,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_004,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_005,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_006,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_007,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_008,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_009,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_010,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_011,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_012,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_013,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_014,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_015,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_016,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_017,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_018,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_019,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_020,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_021,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_022,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_023,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_024,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_025,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_026,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_027,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_028,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_029,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_030,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_031,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_032,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_033,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_034,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_035,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_036,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_037,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_038,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_039,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_040,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_041,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_042,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_043,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_044,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_045,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_046,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_047,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_048,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_049,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_050,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_051,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_052,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_053,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_054,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_055,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_056,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_057,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_058,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_059,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_060,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_061,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_062,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_063,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_064,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_065,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_066,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_067,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_068,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_069,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_070,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_071,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_072,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_073,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_074,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_075,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_076,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_077,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_078,46.0,46.0,0.0,exact_sampled_agreement
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_079,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_080,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_081,44.0,46.0,2.0,physx_later
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_082,,,,both_right_censored
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_083,46.0,36.0,-10.0,physx_earlier
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_084,50.0,56.0,6.0,physx_later
