scope,trial_count,agreements,disagreements,agreement_rate
overall,76800,75722,1078,0.9859635416666667
scene:formal_baseline_v1,19200,18997,203,0.9894270833333333
scene:multiscene_candidate_001,19200,19098,102,0.9946875
scene:multiscene_candidate_005,19200,18934,266,0.9861458333333334
scene:multiscene_candidate_006,19200,18693,507,0.97359375
inflation:0mm,15360,15104,256,0.9833333333333333
inflation:5mm,15360,15134,226,0.9852864583333333
inflation:10mm,15360,15172,188,0.9877604166666667
inflation:15mm,15360,15156,204,0.98671875
inflation:20mm,15360,15156,204,0.98671875
magnitude:2mm,2560,2560,0,1.0
magnitude:4mm,2560,2560,0,1.0
magnitude:6mm,2560,2560,0,1.0
magnitude:8mm,2560,2558,2,0.99921875
magnitude:10mm,2560,2541,19,0.992578125
magnitude:12mm,2560,2542,18,0.99296875
magnitude:14mm,2560,2538,22,0.99140625
magnitude:16mm,2560,2528,32,0.9875
magnitude:18mm,2560,2533,27,0.989453125
magnitude:20mm,2560,2529,31,0.987890625
magnitude:22mm,2560,2516,44,0.9828125
magnitude:24mm,2560,2525,35,0.986328125
magnitude:26mm,2560,2516,44,0.9828125
magnitude:28mm,2560,2514,46,0.98203125
magnitude:30mm,2560,2503,57,0.977734375
magnitude:32mm,2560,2507,53,0.979296875
magnitude:34mm,2560,2499,61,0.976171875
magnitude:36mm,2560,2500,60,0.9765625
magnitude:38mm,2560,2502,58,0.97734375
magnitude:40mm,2560,2507,53,0.979296875
magnitude:42mm,2560,2502,58,0.97734375
magnitude:44mm,2560,2519,41,0.983984375
magnitude:46mm,2560,2523,37,0.985546875
magnitude:48mm,2560,2522,38,0.98515625
magnitude:50mm,2560,2520,40,0.984375
magnitude:52mm,2560,2517,43,0.983203125
magnitude:54mm,2560,2515,45,0.982421875
magnitude:56mm,2560,2522,38,0.98515625
magnitude:58mm,2560,2522,38,0.98515625
magnitude:60mm,2560,2522,38,0.98515625
