condition_id,scene_id,inflation_mm,direction_id,physx_first_sampled_collision_mm,physx_lower_safe_bound_mm,physx_upper_collision_bound_mm,physx_interval_width_mm,physx_estimated_threshold_midpoint_mm,physx_right_censored_above_60mm,curobo_first_sampled_collision_mm,curobo_lower_safe_bound_mm,curobo_upper_collision_bound_mm,curobo_right_censored_above_60mm,bottleneck_switch
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_000,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_001,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_002,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_003,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_004,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_005,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_006,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_007,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_008,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_009,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_010,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_011,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_012,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_013,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_014,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_015,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_016,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_017,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_018,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_019,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_020,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_021,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_022,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_023,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_024,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_025,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_026,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_027,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_028,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_029,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_030,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_031,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_032,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_033,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_034,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_035,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_036,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_037,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_038,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_039,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_040,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_041,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_042,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_043,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_044,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_045,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_046,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_047,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_048,,,,,,True,,,,True,False
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_049,,,,,,True,,,,True,False
