trial_id,condition_id,scene_id,inflation_mm,direction_id,magnitude_mm,curobo_collision,physx_collision,collision_agreement,curobo_minimum_clearance_m,physx_minimum_separation_m,curobo_minimum_index,physx_minimum_index,physx_contact
formal_baseline_v1__inflation_000mm__direction_081__044mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_081,44.0,True,False,False,-0.0001567341387271881,0.00015045702457427979,18,18,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":3,""minimum_separation_m"":0.00015045702457427979}"
formal_baseline_v1__inflation_000mm__direction_083__036mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_083,36.0,False,True,False,0.0027115270495414734,-0.0004878900945186615,19,17,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":4,""minimum_separation_m"":-0.0004878900945186615}"
formal_baseline_v1__inflation_000mm__direction_083__038mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_083,38.0,False,True,False,0.002127036452293396,-0.0011511258780956268,19,17,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":4,""minimum_separation_m"":-0.0011511258780956268}"
formal_baseline_v1__inflation_000mm__direction_083__040mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_083,40.0,False,True,False,0.001549798995256424,-0.001756720244884491,19,17,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":3,""minimum_separation_m"":-0.001756720244884491}"
formal_baseline_v1__inflation_000mm__direction_083__042mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_083,42.0,False,True,False,0.0009799636900424957,-0.0023378655314445496,19,17,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":3,""minimum_separation_m"":-0.0023378655314445496}"
formal_baseline_v1__inflation_000mm__direction_083__044mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_083,44.0,False,True,False,0.0004178769886493683,-0.002919025719165802,19,17,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":3,""minimum_separation_m"":-0.002919025719165802}"
formal_baseline_v1__inflation_000mm__direction_084__050mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_084,50.0,True,False,False,-0.0001177564263343811,0.0014700740575790405,20,21,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":4,""minimum_separation_m"":0.0014700740575790405}"
formal_baseline_v1__inflation_000mm__direction_084__052mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_084,52.0,True,False,False,-0.0006307922303676605,0.0009438395500183105,20,21,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":4,""minimum_separation_m"":0.0009438395500183105}"
formal_baseline_v1__inflation_000mm__direction_084__054mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_084,54.0,True,False,False,-0.0011192075908184052,0.00042128562927246094,20,21,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":4,""minimum_separation_m"":0.00042128562927246094}"
formal_baseline_v1__inflation_000mm__direction_085__048mm,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,direction_085,48.0,False,True,False,0.0024747438728809357,-0.0004294589161872864,21,20,"{""actor0"":""/World/Franka/panda_link6"",""actor1"":""/World/FormalObstacle"",""collider0"":""/World/Franka/panda_link6/geometry/panda_link6"",""collider1"":""/World/FormalObstacle"",""contact_count"":3,""minimum_separation_m"":-0.0004294589161872864}"
