condition_id,scene_id,inflation_mm,physx_right_censored_count,physx_right_censored_fraction,curobo_right_censored_count,curobo_right_censored_fraction
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,81,0.6328125,82,0.640625
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,83,0.6484375,83,0.6484375
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,89,0.6953125,90,0.703125
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,93,0.7265625,96,0.75
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,99,0.7734375,101,0.7890625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,78,0.609375,79,0.6171875
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,84,0.65625,84,0.65625
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,88,0.6875,88,0.6875
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,94,0.734375,94,0.734375
multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,97,0.7578125,99,0.7734375
multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,77,0.6015625,79,0.6171875
multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,82,0.640625,85,0.6640625
multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,87,0.6796875,89,0.6953125
multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,89,0.6953125,92,0.71875
multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,90,0.703125,93,0.7265625
multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,78,0.609375,77,0.6015625
multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,80,0.625,83,0.6484375
multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,86,0.671875,88,0.6875
multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,89,0.6953125,93,0.7265625
multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,94,0.734375,97,0.7578125
