condition_id,scene_id,inflation_mm,budget_mm,direction_count,physx_collisions,physx_collision_rate,physx_safe_retention_rate,curobo_collisions,curobo_collision_rate
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,2,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,4,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,6,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,8,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,10,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,12,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,14,128,0,0.0,1.0,2,0.015625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,16,128,7,0.0546875,0.9453125,10,0.078125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,18,128,14,0.109375,0.890625,16,0.125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,20,128,19,0.1484375,0.8515625,21,0.1640625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,22,128,23,0.1796875,0.8203125,24,0.1875
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,24,128,27,0.2109375,0.7890625,26,0.203125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,26,128,29,0.2265625,0.7734375,29,0.2265625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,28,128,31,0.2421875,0.7578125,33,0.2578125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,30,128,34,0.265625,0.734375,34,0.265625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,32,128,36,0.28125,0.71875,35,0.2734375
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,34,128,37,0.2890625,0.7109375,36,0.28125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,36,128,39,0.3046875,0.6953125,38,0.296875
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,38,128,40,0.3125,0.6875,39,0.3046875
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,40,128,40,0.3125,0.6875,40,0.3125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,42,128,41,0.3203125,0.6796875,40,0.3125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,44,128,42,0.328125,0.671875,42,0.328125
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,46,128,44,0.34375,0.65625,44,0.34375
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,48,128,45,0.3515625,0.6484375,44,0.34375
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,50,128,45,0.3515625,0.6484375,45,0.3515625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,52,128,45,0.3515625,0.6484375,45,0.3515625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,54,128,45,0.3515625,0.6484375,45,0.3515625
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,56,128,46,0.359375,0.640625,46,0.359375
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,58,128,46,0.359375,0.640625,46,0.359375
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,60,128,47,0.3671875,0.6328125,46,0.359375
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,2,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,4,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,6,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,8,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,10,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,12,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,14,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,16,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,18,128,7,0.0546875,0.9453125,7,0.0546875
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,20,128,13,0.1015625,0.8984375,13,0.1015625
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,22,128,17,0.1328125,0.8671875,18,0.140625
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,24,128,21,0.1640625,0.8359375,21,0.1640625
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,26,128,23,0.1796875,0.8203125,24,0.1875
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,28,128,28,0.21875,0.78125,26,0.203125
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,30,128,29,0.2265625,0.7734375,28,0.21875
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,32,128,31,0.2421875,0.7578125,31,0.2421875
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,34,128,33,0.2578125,0.7421875,34,0.265625
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,36,128,35,0.2734375,0.7265625,34,0.265625
