condition_id,scene_id,inflation_mm,engine,threshold_category_mm,direction_count
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,2,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,4,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,6,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,8,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,10,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,12,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,14,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,16,7
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,18,7
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,20,5
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,22,4
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,24,4
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,26,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,28,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,30,3
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,32,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,34,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,36,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,38,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,40,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,42,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,44,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,46,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,48,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,50,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,52,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,54,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,56,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,58,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,60,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,physx,>60,81
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,2,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,4,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,6,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,8,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,10,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,12,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,14,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,16,8
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,18,6
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,20,5
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,22,3
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,24,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,26,3
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,28,4
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,30,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,32,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,34,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,36,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,38,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,40,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,42,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,44,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,46,2
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,48,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,50,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,52,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,54,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,56,1
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,58,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,60,0
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,curobo,>60,82
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,2,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,4,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,6,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,8,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,10,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,12,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,14,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,16,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,18,7
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,20,6
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,22,4
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,24,4
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,26,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,28,5
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,30,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,32,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,34,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,36,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,38,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,40,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,42,3
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,44,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,46,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,48,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,50,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,52,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,54,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,56,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,58,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,60,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,physx,>60,83
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,2,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,4,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,6,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,8,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,10,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,12,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,14,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,16,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,18,7
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,20,6
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,22,5
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,24,3
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,26,3
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,28,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,30,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,32,3
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,34,3
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,36,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,38,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,40,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,42,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,44,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,46,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,48,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,50,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,52,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,54,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,56,2
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,58,0
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,60,1
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,curobo,>60,83
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,2,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,4,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,6,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,8,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,10,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,12,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,14,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,16,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,18,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,20,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,22,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,24,6
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,26,4
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,28,3
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,30,3
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,32,3
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,34,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,36,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,38,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,40,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,42,3
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,44,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,46,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,48,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,50,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,52,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,54,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,56,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,58,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,60,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,physx,>60,89
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,2,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,4,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,6,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,8,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,10,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,12,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,14,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,16,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,18,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,20,0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,22,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,24,6
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,26,5
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,28,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,30,4
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,32,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,34,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,36,3
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,38,2
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,40,1
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,curobo,42,1
