attempt_id,phase,round_id,execution_position,position_within_round,condition_id,scene_id,inflation_mm,planning_success,failure_reason,planning_reported_solve_time_s,planning_reported_total_time_s,measured_wall_time_s,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad,status,error
round_01__position_01__formal_baseline_v1__inflation_000mm,measured,1,1,1,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,,0.027341504096984867,0.036291584014892575,0.03671790399675956,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True,completed,
round_01__position_02__formal_baseline_v1__inflation_005mm,measured,1,2,2,formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,True,,0.02622694396972656,0.03477196884155274,0.03519596599653596,"[41,7]",True,0.0,0.0,0.9439100027084351,0.9439100027084351,0.0,True,True,completed,
round_01__position_03__formal_baseline_v1__inflation_010mm,measured,1,3,3,formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,True,,0.027574496269226076,0.03603926467895508,0.03645431199402083,"[41,7]",True,0.0,0.0,0.9444064497947693,0.9444064497947693,0.0,True,True,completed,
round_01__position_04__formal_baseline_v1__inflation_015mm,measured,1,4,4,formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,True,,0.038563871383666994,0.05101670455932617,0.05143140600557672,"[41,7]",True,0.0,0.0,0.9454147815704346,0.9454147815704346,0.0,True,True,completed,
round_01__position_05__formal_baseline_v1__inflation_020mm,measured,1,5,5,formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,True,,0.027648608207702638,0.03614822387695313,0.03655726899887668,"[41,7]",True,0.0,0.0,0.9469339847564697,0.9469339847564697,0.0,True,True,completed,
round_01__position_06__multiscene_candidate_001__inflation_000mm,measured,1,6,6,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,,0.025739456176757814,0.03493302536010742,0.03535019399714656,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True,completed,
round_01__position_07__multiscene_candidate_001__inflation_005mm,measured,1,7,7,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,,0.027589407920837403,0.03605913543701172,0.036484308999206405,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True,completed,
round_01__position_08__multiscene_candidate_001__inflation_010mm,measured,1,8,8,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,,0.02600057506561279,0.036517887115478515,0.0369611790010822,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True,completed,
round_01__position_09__multiscene_candidate_001__inflation_015mm,measured,1,9,9,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,,0.02621017646789551,0.036277950286865236,0.0367834770004265,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True,completed,
round_01__position_10__multiscene_candidate_001__inflation_020mm,measured,1,10,10,multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,True,,0.0271309118270874,0.03580108642578125,0.03623352199792862,"[41,7]",True,0.0,0.0,0.947810709476471,0.947810709476471,0.0,True,True,completed,
round_01__position_11__multiscene_candidate_005__inflation_000mm,measured,1,11,11,multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,True,,0.026646400451660158,0.03593711853027344,0.0363976129956427,"[41,7]",True,0.0,0.0,0.9438865780830383,0.9438865780830383,0.0,True,True,completed,
round_01__position_12__multiscene_candidate_005__inflation_005mm,measured,1,12,12,multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,True,,0.035922143936157225,0.04748147201538086,0.047887474996969104,"[41,7]",True,0.0,0.0,0.9450989365577698,0.9450989365577698,0.0,True,True,completed,
round_01__position_13__multiscene_candidate_005__inflation_010mm,measured,1,13,13,multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,True,,0.02672358322143555,0.03591600036621094,0.03634151099686278,"[41,7]",True,0.0,0.0,0.9485982656478882,0.9485982656478882,0.0,True,True,completed,
round_01__position_14__multiscene_candidate_005__inflation_015mm,measured,1,14,14,multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,True,,0.028278943061828613,0.03705033493041992,0.037599991002934985,"[41,7]",True,0.0,0.0,0.9550252556800842,0.9550252556800842,0.0,True,True,completed,
round_01__position_15__multiscene_candidate_005__inflation_020mm,measured,1,15,15,multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,True,,0.025994751930236815,0.03662233734130859,0.0370770680019632,"[41,7]",True,0.0,0.0,0.9647320508956909,0.9647320508956909,0.0,True,True,completed,
